local_datetime,segment_id,crosswalk,direction,volume
06/19/2025,Washington Street and Avenue 52,West Crosswalk,sb,2
06/20/2025,Washington Street and Avenue 52,West Crosswalk,nb,0
06/20/2025,Washington Street and Avenue 52,West Crosswalk,sb,0
06/21/2025,Washington Street and Avenue 52,West Crosswalk,nb,1
06/21/2025,Washington Street and Avenue 52,West Crosswalk,sb,1
06/22/2025,Washington Street and Avenue 52,West Crosswalk,nb,0
06/22/2025,Washington Street and Avenue 52,West Crosswalk,sb,0
06/23/2025,Washington Street and Avenue 52,West Crosswalk,nb,1
06/23/2025,Washington Street and Avenue 52,West Crosswalk,sb,2
06/24/2025,Washington Street and Avenue 52,West Crosswalk,nb,2
06/24/2025,Washington Street and Avenue 52,West Crosswalk,sb,1
06/25/2025,Washington Street and Avenue 52,West Crosswalk,nb,3
06/25/2025,Washington Street and Avenue 52,West Crosswalk,sb,3
06/26/2025,Washington Street and Avenue 52,West Crosswalk,nb,3
06/26/2025,Washington Street and Avenue 52,West Crosswalk,sb,3
06/27/2025,Washington Street and Avenue 52,West Crosswalk,nb,1
06/27/2025,Washington Street and Avenue 52,West Crosswalk,sb,5
06/28/2025,Washington Street and Avenue 52,West Crosswalk,nb,2
06/28/2025,Washington Street and Avenue 52,West Crosswalk,sb,1
06/29/2025,Washington Street and Avenue 52,West Crosswalk,nb,2
06/29/2025,Washington Street and Avenue 52,West Crosswalk,sb,2
06/30/2025,Washington Street and Avenue 52,West Crosswalk,nb,1
06/30/2025,Washington Street and Avenue 52,West Crosswalk,sb,0
06/01/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/01/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/02/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/02/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/03/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/03/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/04/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/04/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/05/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/05/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/06/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/06/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/07/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/07/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/08/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/08/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/09/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/09/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/10/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/10/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/11/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/11/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/12/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/12/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/13/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/13/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/14/2025,Washington Street and Avenue 52,South Crosswalk,wb,
06/14/2025,Washington Street and Avenue 52,South Crosswalk,eb,
06/15/2025,Washington Street and Avenue 52,South Crosswalk,wb,0
06/15/2025,Washington Street and Avenue 52,South Crosswalk,eb,0
06/16/2025,Washington Street and Avenue 52,South Crosswalk,wb,1
06/16/2025,Washington Street and Avenue 52,South Crosswalk,eb,3
06/17/2025,Washington Street and Avenue 52,South Crosswalk,wb,2
06/17/2025,Washington Street and Avenue 52,South Crosswalk,eb,1
06/18/2025,Washington Street and Avenue 52,South Crosswalk,wb,3
06/18/2025,Washington Street and Avenue 52,South Crosswalk,eb,3
06/19/2025,Washington Street and Avenue 52,South Crosswalk,wb,2
06/19/2025,Washington Street and Avenue 52,South Crosswalk,eb,3
06/20/2025,Washington Street and Avenue 52,South Crosswalk,wb,3
06/20/2025,Washington Street and Avenue 52,South Crosswalk,eb,1
06/21/2025,Washington Street and Avenue 52,South Crosswalk,wb,3
06/21/2025,Washington Street and Avenue 52,South Crosswalk,eb,8
06/22/2025,Washington Street and Avenue 52,South Crosswalk,wb,3
06/22/2025,Washington Street and Avenue 52,South Crosswalk,eb,2
06/23/2025,Washington Street and Avenue 52,South Crosswalk,wb,4
