local_datetime,segment_id,direction,turn_type,volume
6/17/2025,Washington and Avenue 52,nb,Left,18
6/18/2025,Washington and Avenue 52,nb,Right,145
6/18/2025,Washington and Avenue 52,nb,Through,54
6/18/2025,Washington and Avenue 52,nb,Left,9
6/19/2025,Washington and Avenue 52,nb,Right,102
6/19/2025,Washington and Avenue 52,nb,Through,54
6/19/2025,Washington and Avenue 52,nb,Left,18
6/20/2025,Washington and Avenue 52,nb,Right,85
6/20/2025,Washington and Avenue 52,nb,Through,48
6/20/2025,Washington and Avenue 52,nb,Left,17
6/21/2025,Washington and Avenue 52,nb,Right,65
6/21/2025,Washington and Avenue 52,nb,Through,38
6/21/2025,Washington and Avenue 52,nb,Left,10
6/22/2025,Washington and Avenue 52,nb,Right,51
6/22/2025,Washington and Avenue 52,nb,Through,32
6/22/2025,Washington and Avenue 52,nb,Left,7
6/23/2025,Washington and Avenue 52,nb,Right,205
6/23/2025,Washington and Avenue 52,nb,Through,144
6/23/2025,Washington and Avenue 52,nb,Left,33
6/24/2025,Washington and Avenue 52,nb,Right,288
6/24/2025,Washington and Avenue 52,nb,Through,112
6/24/2025,Washington and Avenue 52,nb,Left,79
6/25/2025,Washington and Avenue 52,nb,Right,363
6/25/2025,Washington and Avenue 52,nb,Through,97
6/25/2025,Washington and Avenue 52,nb,Left,50
6/26/2025,Washington and Avenue 52,nb,Right,508
6/26/2025,Washington and Avenue 52,nb,Through,197
6/26/2025,Washington and Avenue 52,nb,Left,60
6/27/2025,Washington and Avenue 52,nb,Right,384
6/27/2025,Washington and Avenue 52,nb,Through,193
6/27/2025,Washington and Avenue 52,nb,Left,41
6/28/2025,Washington and Avenue 52,nb,Right,266
6/28/2025,Washington and Avenue 52,nb,Through,109
6/28/2025,Washington and Avenue 52,nb,Left,40
6/29/2025,Washington and Avenue 52,nb,Right,142
6/29/2025,Washington and Avenue 52,nb,Through,97
6/29/2025,Washington and Avenue 52,nb,Left,35
6/30/2025,Washington and Avenue 52,nb,Right,450
6/30/2025,Washington and Avenue 52,nb,Through,138
6/30/2025,Washington and Avenue 52,nb,Left,59
6/15/2025,Washington and Avenue 52,wb,Right,3
6/15/2025,Washington and Avenue 52,wb,Through,1
6/15/2025,Washington and Avenue 52,wb,Left,0
6/16/2025,Washington and Avenue 52,wb,Right,1685
6/16/2025,Washington and Avenue 52,wb,Through,1009
6/16/2025,Washington and Avenue 52,wb,Left,102
6/17/2025,Washington and Avenue 52,wb,Right,1792
6/17/2025,Washington and Avenue 52,wb,Through,1059
6/17/2025,Washington and Avenue 52,wb,Left,98
6/18/2025,Washington and Avenue 52,wb,Right,1652
6/18/2025,Washington and Avenue 52,wb,Through,1087
6/18/2025,Washington and Avenue 52,wb,Left,95
6/19/2025,Washington and Avenue 52,wb,Right,1755
6/19/2025,Washington and Avenue 52,wb,Through,1022
6/19/2025,Washington and Avenue 52,wb,Left,88
6/20/2025,Washington and Avenue 52,wb,Right,1752
6/20/2025,Washington and Avenue 52,wb,Through,1041
6/20/2025,Washington and Avenue 52,wb,Left,97
6/21/2025,Washington and Avenue 52,wb,Right,1345
6/21/2025,Washington and Avenue 52,wb,Through,987
6/21/2025,Washington and Avenue 52,wb,Left,33
6/22/2025,Washington and Avenue 52,wb,Right,936
6/22/2025,Washington and Avenue 52,wb,Through,802
6/22/2025,Washington and Avenue 52,wb,Left,9
6/23/2025,Washington and Avenue 52,wb,Right,3291
6/23/2025,Washington and Avenue 52,wb,Through,2497
6/23/2025,Washington and Avenue 52,wb,Left,156
6/24/2025,Washington and Avenue 52,wb,Right,5325
6/24/2025,Washington and Avenue 52,wb,Through,3260
6/24/2025,Washington and Avenue 52,wb,Left,244
6/25/2025,Washington and Avenue 52,wb,Right,5014
6/25/2025,Washington and Avenue 52,wb,Through,3332
6/25/2025,Washington and Avenue 52,wb,Left,161
6/26/2025,Washington and Avenue 52,wb,Right,4912
6/26/2025,Washington and Avenue 52,wb,Through,3379
6/26/2025,Washington and Avenue 52,wb,Left,253
6/27/2025,Washington and Avenue 52,wb,Right,4884
6/27/2025,Washington and Avenue 52,wb,Through,3241
6/27/2025,Washington and Avenue 52,wb,Left,287
6/28/2025,Washington and Avenue 52,wb,Right,3704
6/28/2025,Washington and Avenue 52,wb,Through,2704
6/28/2025,Washington and Avenue 52,wb,Left,95
6/29/2025,Washington and Avenue 52,wb,Right,2818
6/29/2025,Washington and Avenue 52,wb,Through,2410
6/29/2025,Washington and Avenue 52,wb,Left,29
6/30/2025,Washington and Avenue 52,wb,Right,4918
6/30/2025,Washington and Avenue 52,wb,Through,2999
6/30/2025,Washington and Avenue 52,wb,Left,261
6/15/2025,Washington and Calle Tampico,eb,Right,0
6/15/2025,Washington and Calle Tampico,eb,Through,9
6/15/2025,Washington and Calle Tampico,eb,Left,0
6/16/2025,Washington and Calle Tampico,eb,Right,1584
6/16/2025,Washington and Calle Tampico,eb,Through,2406
6/16/2025,Washington and Calle Tampico,eb,Left,100
6/17/2025,Washington and Calle Tampico,eb,Right,1445
6/17/2025,Washington and Calle Tampico,eb,Through,2356
6/17/2025,Washington and Calle Tampico,eb,Left,112
6/18/2025,Washington and Calle Tampico,eb,Right,1517
6/18/2025,Washington and Calle Tampico,eb,Through,2383
6/18/2025,Washington and Calle Tampico,eb,Left,112
6/19/2025,Washington and Calle Tampico,eb,Right,1443
6/19/2025,Washington and Calle Tampico,eb,Through,2460
6/19/2025,Washington and Calle Tampico,eb,Left,106
6/20/2025,Washington and Calle Tampico,eb,Right,1663
6/20/2025,Washington and Calle Tampico,eb,Through,2396
6/20/2025,Washington and Calle Tampico,eb,Left,126
6/21/2025,Washington and Calle Tampico,eb,Right,1293
6/21/2025,Washington and Calle Tampico,eb,Through,1908
6/21/2025,Washington and Calle Tampico,eb,Left,111
6/22/2025,Washington and Calle Tampico,eb,Right,1118
6/22/2025,Washington and Calle Tampico,eb,Through,1623
6/22/2025,Washington and Calle Tampico,eb,Left,90
6/23/2025,Washington and Calle Tampico,eb,Right,3741
6/23/2025,Washington and Calle Tampico,eb,Through,5466
6/23/2025,Washington and Calle Tampico,eb,Left,241
6/24/2025,Washington and Calle Tampico,eb,Right,4787
6/24/2025,Washington and Calle Tampico,eb,Through,7220
6/24/2025,Washington and Calle Tampico,eb,Left,334
6/25/2025,Washington and Calle Tampico,eb,Right,4606
6/25/2025,Washington and Calle Tampico,eb,Through,7163
6/25/2025,Washington and Calle Tampico,eb,Left,362
6/26/2025,Washington and Calle Tampico,eb,Right,4723
6/26/2025,Washington and Calle Tampico,eb,Through,7000
6/26/2025,Washington and Calle Tampico,eb,Left,334
6/27/2025,Washington and Calle Tampico,eb,Right,4410
6/27/2025,Washington and Calle Tampico,eb,Through,7253
