local_datetime,segment_id,direction,volume
6/4/2025,Washington and Calle Tampico,wb,
6/5/2025,Washington and Calle Tampico,wb,
6/6/2025,Washington and Calle Tampico,wb,
6/7/2025,Washington and Calle Tampico,wb,
6/8/2025,Washington and Calle Tampico,wb,
6/9/2025,Washington and Calle Tampico,wb,
6/10/2025,Washington and Calle Tampico,wb,
6/11/2025,Washington and Calle Tampico,wb,
6/12/2025,Washington and Calle Tampico,wb,
6/13/2025,Washington and Calle Tampico,wb,
6/14/2025,Washington and Calle Tampico,wb,
6/15/2025,Washington and Calle Tampico,wb,
6/16/2025,Washington and Calle Tampico,wb,
6/17/2025,Washington and Calle Tampico,wb,0
6/18/2025,Washington and Calle Tampico,wb,2
6/19/2025,Washington and Calle Tampico,wb,1
6/20/2025,Washington and Calle Tampico,wb,4
6/21/2025,Washington and Calle Tampico,wb,1
6/22/2025,Washington and Calle Tampico,wb,3
6/23/2025,Washington and Calle Tampico,wb,6
6/24/2025,Washington and Calle Tampico,wb,13
6/25/2025,Washington and Calle Tampico,wb,15
6/26/2025,Washington and Calle Tampico,wb,11
6/27/2025,Washington and Calle Tampico,wb,7
6/28/2025,Washington and Calle Tampico,wb,9
6/29/2025,Washington and Calle Tampico,wb,5
6/30/2025,Washington and Calle Tampico,wb,10
6/1/2025,Washington and Calle Tampico,eb,
6/2/2025,Washington and Calle Tampico,eb,
6/3/2025,Washington and Calle Tampico,eb,
6/4/2025,Washington and Calle Tampico,eb,
6/5/2025,Washington and Calle Tampico,eb,
6/6/2025,Washington and Calle Tampico,eb,
6/7/2025,Washington and Calle Tampico,eb,
6/8/2025,Washington and Calle Tampico,eb,
6/9/2025,Washington and Calle Tampico,eb,
6/10/2025,Washington and Calle Tampico,eb,
6/11/2025,Washington and Calle Tampico,eb,
6/12/2025,Washington and Calle Tampico,eb,
6/13/2025,Washington and Calle Tampico,eb,
6/14/2025,Washington and Calle Tampico,eb,
6/15/2025,Washington and Calle Tampico,eb,
6/16/2025,Washington and Calle Tampico,eb,
6/17/2025,Washington and Calle Tampico,eb,5
6/18/2025,Washington and Calle Tampico,eb,16
6/19/2025,Washington and Calle Tampico,eb,19
6/20/2025,Washington and Calle Tampico,eb,13
6/21/2025,Washington and Calle Tampico,eb,18
6/22/2025,Washington and Calle Tampico,eb,24
6/23/2025,Washington and Calle Tampico,eb,26
6/24/2025,Washington and Calle Tampico,eb,47
6/25/2025,Washington and Calle Tampico,eb,43
6/26/2025,Washington and Calle Tampico,eb,64
6/27/2025,Washington and Calle Tampico,eb,64
6/28/2025,Washington and Calle Tampico,eb,72
6/29/2025,Washington and Calle Tampico,eb,44
6/30/2025,Washington and Calle Tampico,eb,40
6/1/2025,Washington and Calle Tampico,sb,
6/2/2025,Washington and Calle Tampico,sb,
6/3/2025,Washington and Calle Tampico,sb,
6/4/2025,Washington and Calle Tampico,sb,
6/5/2025,Washington and Calle Tampico,sb,
6/6/2025,Washington and Calle Tampico,sb,
6/7/2025,Washington and Calle Tampico,sb,
6/8/2025,Washington and Calle Tampico,sb,
6/9/2025,Washington and Calle Tampico,sb,
6/10/2025,Washington and Calle Tampico,sb,
6/11/2025,Washington and Calle Tampico,sb,
6/12/2025,Washington and Calle Tampico,sb,
6/13/2025,Washington and Calle Tampico,sb,
6/14/2025,Washington and Calle Tampico,sb,
6/15/2025,Washington and Calle Tampico,sb,
6/16/2025,Washington and Calle Tampico,sb,
6/17/2025,Washington and Calle Tampico,sb,4
6/18/2025,Washington and Calle Tampico,sb,19
6/19/2025,Washington and Calle Tampico,sb,8
6/20/2025,Washington and Calle Tampico,sb,9
6/21/2025,Washington and Calle Tampico,sb,8
6/22/2025,Washington and Calle Tampico,sb,17
6/23/2025,Washington and Calle Tampico,sb,23
6/24/2025,Washington and Calle Tampico,sb,36
6/25/2025,Washington and Calle Tampico,sb,34
6/26/2025,Washington and Calle Tampico,sb,47
6/27/2025,Washington and Calle Tampico,sb,39
6/28/2025,Washington and Calle Tampico,sb,40
6/29/2025,Washington and Calle Tampico,sb,26
6/30/2025,Washington and Calle Tampico,sb,24
6/1/2025,Washington and Calle Tampico,nb,
6/2/2025,Washington and Calle Tampico,nb,
6/3/2025,Washington and Calle Tampico,nb,
6/4/2025,Washington and Calle Tampico,nb,
6/5/2025,Washington and Calle Tampico,nb,
6/6/2025,Washington and Calle Tampico,nb,
6/7/2025,Washington and Calle Tampico,nb,
6/8/2025,Washington and Calle Tampico,nb,
6/9/2025,Washington and Calle Tampico,nb,
6/10/2025,Washington and Calle Tampico,nb,
6/11/2025,Washington and Calle Tampico,nb,
6/12/2025,Washington and Calle Tampico,nb,
6/13/2025,Washington and Calle Tampico,nb,
6/14/2025,Washington and Calle Tampico,nb,
6/15/2025,Washington and Calle Tampico,nb,
6/16/2025,Washington and Calle Tampico,nb,
6/17/2025,Washington and Calle Tampico,nb,0
6/18/2025,Washington and Calle Tampico,nb,8
6/19/2025,Washington and Calle Tampico,nb,12
6/20/2025,Washington and Calle Tampico,nb,2
6/21/2025,Washington and Calle Tampico,nb,8
6/22/2025,Washington and Calle Tampico,nb,5
6/23/2025,Washington and Calle Tampico,nb,8
6/24/2025,Washington and Calle Tampico,nb,18
6/25/2025,Washington and Calle Tampico,nb,12
6/26/2025,Washington and Calle Tampico,nb,16
6/27/2025,Washington and Calle Tampico,nb,9
6/28/2025,Washington and Calle Tampico,nb,10
6/29/2025,Washington and Calle Tampico,nb,17
6/30/2025,Washington and Calle Tampico,nb,8
6/1/2025,Washington and Village Shopping Center,sb,
6/2/2025,Washington and Village Shopping Center,sb,
