local_datetime,average_delay,average_traveltime,average_speed,corridor_id,direction,corridor_name
9/3/2024 23:00,0.03,0.93,31.7,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 0:00,0,0.86,34.2,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 1:00,0.01,0.88,33.7,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 2:00,0.03,0.92,32.2,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 3:00,0.04,0.98,30.3,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 4:00,0,0.89,33.3,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 5:00,0.01,0.91,32.3,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 6:00,0.13,1.05,28.4,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 7:00,0.09,1.08,27.5,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 8:00,0.43,1.45,20.5,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 9:00,0.12,1.1,26.8,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 10:00,0.4,1.37,22,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 11:00,0.39,1.39,22.4,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 12:00,0.59,1.61,18.5,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 13:00,0.26,1.27,23.4,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 14:00,0.41,1.41,21.4,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 15:00,0.38,1.37,22.1,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 16:00,0.47,1.46,21,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 17:00,0.48,1.49,21.1,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 18:00,0.26,1.25,24,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 19:00,0.15,1.16,25.5,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 20:00,0.13,1.15,26,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 21:00,0.15,1.13,26.6,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 22:00,0.05,1.01,29.5,adamsst_to_washingtonst,WB,Avenue47
9/4/2024 23:00,0,0.88,33.6,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 0:00,0.03,0.91,32.4,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 1:00,0.03,0.92,32.1,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 2:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 3:00,0.02,0.9,32.8,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 4:00,0.01,0.89,33.3,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 5:00,0.11,1.02,29.5,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 6:00,0.19,1.15,26,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 7:00,0.11,1.06,28,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 8:00,0.57,1.56,19.2,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 9:00,0.39,1.38,21.7,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 10:00,0.26,1.25,24.4,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 11:00,0.42,1.42,21.5,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 12:00,0.17,1.17,25.7,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 13:00,0.14,1.14,26,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 14:00,0.17,1.15,25.9,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 15:00,0.29,1.3,23.2,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 16:00,0.21,1.19,25.2,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 17:00,0.4,1.42,21.3,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 18:00,0.24,1.21,24.5,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 19:00,0.14,1.07,28.3,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 20:00,0.07,1.03,28.8,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 21:00,0.09,1.07,27.9,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 22:00,0.13,1.07,27.9,adamsst_to_washingtonst,WB,Avenue47
9/5/2024 23:00,0.18,1.16,25.9,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 0:00,0.11,1,30.4,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 1:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 2:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 3:00,0,0.88,33.6,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 4:00,0.03,0.92,32.1,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 5:00,0.13,1.09,27.9,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 6:00,0.2,1.21,24.5,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 7:00,0.13,1.06,28.5,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 8:00,0.42,1.38,21.5,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 9:00,0.54,1.53,20.3,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 10:00,0.6,1.64,18.3,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 11:00,0.27,1.24,25.3,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 12:00,0.42,1.42,21.4,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 13:00,0.58,1.62,18.5,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 14:00,0.38,1.38,22.3,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 15:00,0.31,1.32,22.8,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 16:00,0.66,1.65,18,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 17:00,0.43,1.38,21.8,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 18:00,0.23,1.2,25.3,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 19:00,0.21,1.23,24,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 20:00,0.26,1.26,23.9,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 21:00,0.13,1.1,27.1,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 22:00,0.04,1.02,29.1,adamsst_to_washingtonst,WB,Avenue47
9/6/2024 23:00,0.03,0.97,30.4,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 0:00,0.14,1.1,27.2,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 1:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 2:00,0.05,0.96,31.3,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 3:00,0.02,0.91,32.6,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 4:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 5:00,0.01,0.87,33.8,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 6:00,0,0.89,33.2,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 7:00,0.01,0.9,32.8,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 8:00,0.06,1,29.9,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 9:00,0.4,1.33,22.4,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 10:00,0.16,1.16,26.1,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 11:00,0.31,1.3,23.1,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 12:00,0.4,1.4,21.5,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 13:00,0.44,1.45,21,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 14:00,0.27,1.3,23.3,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 15:00,0.22,1.22,24.6,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 16:00,0.25,1.27,24.1,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 17:00,0.15,1.12,26.5,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 18:00,0.13,1.13,26.4,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 19:00,0.23,1.26,23.6,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 20:00,0.14,1.14,25.8,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 21:00,0.06,0.98,30.2,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 22:00,0.05,1.03,28.8,adamsst_to_washingtonst,WB,Avenue47
9/7/2024 23:00,0.04,0.96,31,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 0:00,0.02,0.9,32.7,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 1:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 2:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 3:00,0.05,0.94,31.4,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 4:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 5:00,0,0.88,33.6,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 6:00,0.02,0.89,33.1,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 7:00,0.01,0.9,33,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 8:00,0.2,1.16,26.9,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 9:00,0.28,1.22,25.6,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 10:00,0.35,1.31,23.5,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 11:00,0.34,1.34,22.7,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 12:00,0.68,1.68,18.4,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 13:00,0.29,1.3,22.9,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 14:00,0.14,1.13,26.5,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 15:00,0.12,1.1,27.3,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 16:00,0.28,1.27,24,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 17:00,0.36,1.35,23.2,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 18:00,0.31,1.33,22.7,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 19:00,0.34,1.33,23.1,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 20:00,0.09,1.07,27.9,adamsst_to_washingtonst,WB,Avenue47
